,y_true,gb_forecaster,rt_forecaster,sv_forecaster,nn_forecaster,prophet_forecaster
2023-08-07,17708161.0,17700024.644811172,17684767.401818182,17544684.448755935,17150166.64961949,17589569.559729353
2023-08-14,17101925.0,16983444.065818712,17301391.50344422,17576868.66955513,17561438.088016193,16821142.938363347
2023-08-21,16371330.0,16530541.17153826,16667071.773841271,17067368.45254943,16776742.482102945,16343234.29414949
2023-08-28,15786885.0,15862311.746371863,16227863.728611583,16225600.100010004,16320078.460185789,16186014.806005685
2023-09-04,16115757.0,16099282.514458587,16216082.265791515,16316661.799055485,15846855.007264573,16119886.202025235
2023-09-11,16312353.0,16419378.689828742,16421687.165031698,16662404.932330143,16626214.718971882,16029543.866476307
2023-09-18,16770081.0,16774432.06312061,16616277.752610167,16790062.70182828,16711899.925274298,16073943.212656269
2023-09-25,16783264.0,16323773.991680205,16191878.7950567,16313615.683936235,16460806.663634777,16423968.001764087
2023-10-02,17071747.0,16958358.208586056,16725626.034374848,16421550.730696414,17159009.70820438,16930547.156418975
2023-10-09,17762083.0,17694925.27061509,17383557.15950034,17112912.221181873,16541010.78940118,17190638.895204447
2023-10-16,17474614.0,17521203.47609141,17346019.812827673,17449922.27361816,17731715.090077963,16980324.7364263
2023-10-23,16779561.0,16883543.667565506,16869045.136740927,16925174.637199447,17243616.68751452,16539580.02909114
2023-10-30,15748978.0,15852404.051531931,16385072.432306027,16033404.896679055,16417267.875318471,16332726.793108393
2023-11-06,16680288.0,16318605.45491614,16290721.005198607,16092746.617655246,15555484.89122499,16535911.705257503
2023-11-13,17024602.0,17021190.786621854,16935682.13560545,16689549.441353535,16983823.482171237,16849568.377424292
2023-11-20,17182244.0,17260985.291298404,17017365.278279997,16705217.264770554,17100840.550506875,16862674.90056591
2023-11-27,15525727.0,15930133.952177841,16245079.324298812,16106354.188887702,16765871.575734507,16540559.030316548
2023-12-04,15311894.0,15434430.180002663,15972719.02532648,15646392.050041815,16363379.225076338,16256991.652232954
2023-12-11,16270763.0,16376093.538892765,16267291.08728551,15941640.549291281,15605871.650052302,16329793.790664706
2023-12-18,17176794.0,16829923.504403654,16463610.764286824,16045679.298426993,16790076.99457934,16606129.370670615
2023-12-25,17307363.0,17074219.383102465,16652148.695595182,16031398.11658591,16801134.873808578,16586676.326329224
2024-01-01,16417650.0,15803029.957623271,16346446.611249313,16084257.766126154,16738117.146744203,15956348.475465592
2024-01-08,14560684.0,14461675.939913642,15837958.684506854,15366661.64432565,15714875.226425122,14937124.528280297
2024-01-15,14132315.0,13948042.998854537,15072834.323881064,14606919.413478063,14207327.821682656,14099363.79834937
2024-01-22,14024424.0,13868198.826077633,14584220.80398915,14219898.041614462,13905953.383971952,13866405.967776552
2024-01-29,13958167.0,13761097.848415956,14332558.691644328,14072832.525698438,13910076.950320361,14228870.205956828
2024-02-05,14491216.0,14881504.110656459,14888144.947648719,14879087.226298591,14845436.602699699,14885527.93611608
2024-02-12,15824564.0,16063492.4639931,15523080.484506667,15489500.66183966,15327178.404750492,15562506.964679878
2024-02-19,16712712.0,16659030.59363099,16087041.37689394,16379650.939697482,15726567.182313707,16162846.037439855
2024-02-26,16334405.0,16415980.713922407,16201704.700743979,16496406.617235301,15946456.167020816,16687430.790732995
2024-03-04,16961944.0,16974679.39182791,16721939.140704138,16672767.009348365,17091243.5542888,17125483.29504462
2024-03-11,17586504.0,17484735.330305383,17301103.53250467,17120471.711256288,17426433.255450003,17453794.406566516
2024-03-18,17802222.0,17502215.17022526,17460972.953353878,17477046.28832274,17617650.46393279,17677117.09488875
2024-03-25,17709701.0,17591086.18965312,17590078.082241435,17564745.62865661,17709106.14414847,17804564.053085808
2024-04-01,17529772.0,17512914.473486006,17561090.8532103,17215982.616952784,17521997.669466794,17804992.547827963
2024-04-08,17243711.0,17496183.126099,17606222.924308423,17408255.398518857,17770396.05755381,17652894.0509936
2024-04-15,17429081.0,17478842.24237408,17634504.871434797,17470452.724637482,17573557.514257077,17435800.24989677
2024-04-22,17178886.0,17301612.88079489,17563046.0196967,17423513.369725175,17425039.40318419,17354148.4854418
2024-04-29,17234685.0,17297070.819666345,17603725.454958607,17017796.591904093,17191283.599303983,17548620.241030946
2024-05-06,17904360.0,17909739.72133428,17692943.35653642,17429894.75169444,17904240.96306142,17936422.400141414
2024-05-13,18396438.0,18432225.044555157,17941350.9067436,18105048.8882227,18057645.92187677,18281464.242582254
2024-05-20,18477381.0,18404114.263712753,18222185.213444557,18409435.4456189,18346111.8441543,18453136.537017792
2024-05-27,18440447.0,18291755.90659174,18204601.91255567,18107200.45390296,18420160.38849308,18568285.949267358
2024-06-03,18753868.0,18294498.098145537,18107967.79771501,18033217.50846859,18553888.327095125,18823576.86350602
